2006,NOR,2,8,9
2006,GER,11,12,6
2006,CHN,2,4,5
2006,USA,9,9,7
2006,CAN,7,10,7
2006,SWE,7,2,5
2006,KOR,6,3,2
2006,JPN,1,0,0
2006,RUS,8,6,8
2006,ITA,5,0,6
2006,SUI,5,4,5
2010,NOR,9,8,6
2010,GER,10,13,7
2010,CHN,5,2,4
2010,USA,9,15,13
2010,CAN,14,7,5
2010,SWE,5,2,4
2010,KOR,6,6,2
2010,JPN,0,3,2
2010,RUS,3,5,7
2010,ITA,1,1,3
2010,SUI,6,0,3
2014,NOR,11,5,10
2014,GER,8,6,5
2014,CHN,3,4,2
2014,USA,9,7,12
2014,CAN,10,10,5
2014,SWE,2,7,6
2014,KOR,3,3,2
2014,JPN,1,4,3
2014,RUS,13,11,9
2014,ITA,0,2,6
2014,SUI,6,3,2
2018,NOR,14,14,11
2018,GER,14,10,7
2018,CHN,1,6,2
2018,USA,9,8,6
2018,CAN,11,8,10
2018,SWE,7,6,1
2018,KOR,5,8,4
2018,JPN,4,5,4
2018,RUS,2,6,9
2018,ITA,3,2,5
2018,SUI,5,6,4
2022,NOR,16,8,13
2022,GER,12,10,5
2022,CHN,9,4,2
2022,USA,8,10,7
2022,CAN,4,8,14
2022,SWE,8,5,5
2022,KOR,2,5,2
2022,JPN,3,6,9
2022,RUS,6,12,14
2022,ITA,2,7,8
2022,SUI,7,2,5
2026,NOR,18,12,11
2026,GER,8,10,8
2026,CHN,5,4,6
2026,USA,12,12,9
2026,CAN,5,7,9
2026,SWE,8,6,4
2026,KOR,3,4,3
2026,JPN,5,7,12
2026,ITA,10,6,14
2026,SUI,6,9,8
